RHEA_ID,KEGG_ID,EC
RHEA:30134,R08157,3.1.2.21
RHEA:24805,R00014,missing
RHEA:30118,R08158,3.1.2.21
RHEA:58136,R00316,missing
RHEA:11311,R00742,6.4.1.2
RHEA:39155,R07764,2.3.1.-         4.2.1.-
RHEA:30122,R04014,3.1.2.14        3.1.2.21
RHEA:35351,R07765,1.3.1.9         1.3.1.-         2.3.1.-
RHEA:15393,R02735,5.1.1.7
RHEA:35603,R08548,3.1.3.68
RHEA:30126,R08159,3.1.2.14
RHEA:17325,R04365,2.3.1.117
RHEA:17825,R01600,2.7.1.1, 2.7.1.2
RHEA:14069,R00871,1.1.5.14 
RHEA:22304,R00873,1.1.5.14 
RHEA:15057,R08163,3.1.2.14
RHEA:41935,R01706,2.3.1.85        3.1.2.14
RHEA:34471,R10161,1.3.1.95
RHEA:23783,R00931,2.3.3.5
RHEA:75426,R10505,1.1.1.-
RHEA:23067,R07210,1.14.14.5
RHEA:22011,R01777,2.3.1.46
RHEA:29310,R10206,1.14.14.34
RHEA:21071,R00798,1.7.99.-
RHEA:28250,R09527,2.3.1.194
RHEA:26558,R04428,4.2.1.116
RHEA:41924,R07764,2.3.1.-        4.2.1.-  
RHEA:14329,R04173,2.6.1.52
